Género;Promedio (ms)
Sci Fi & Fantasy;2911783.038461538462
Science Fiction;2625549.076923076923
Drama;2575283.781250000000
TV Shows;2145041.021505376344
Comedy;1585263.705882352941
Metal;309749.443850267380
Electronica/Dance;302985.800000000000
Heavy Metal;297452.928571428571
Classical;293867.567567567568
Jazz;291755.376923076923
Rock;284245.783018867925
Alternative;271488.576923076923
Blues;270359.777777777778
Reggae;247177.758620689655
Soundtrack;244370.883720930233
Alternative & Punk;233066.378125000000
Latin;232859.262521588946
Pop;229034.104166666667
World;224923.821428571429
R&B/Soul;220066.852459016393
Bossa Nova;219590.000000000000
Easy Listening;189164.208333333333
Hip Hop/Rap;178176.285714285714
Opera;174813.000000000000
Rock And Roll;134643.500000000000
